2024-10-18 08:05:11: ('8', 5.54, 18.18, 8.8, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 08:05:11: 8, 5.54, 18.18, 8.8, 18.10.24, 2024-10-17 14:54:07
2024-10-18 08:05:42: ('9', 5.59, 18.17, 9.5, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 08:05:42: 9, 5.59, 18.17, 9.5, 18.10.24, 2024-10-17 14:54:07
2024-10-18 08:06:12: ('10', 5.52, 18.19, 10.0, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 08:06:12: 10, 5.52, 18.19, 10.0, 18.10.24, 2024-10-17 14:54:07
2024-10-18 08:07:36: ('1', 5.56, 18.12, 9.2, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 08:07:36: 1, 5.56, 18.12, 9.2, 18.10.24, 2024-10-17 14:54:07
2024-10-18 08:07:58: ('2', 5.54, 18.18, 9.0, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 08:07:58: 2, 5.54, 18.18, 9.0, 18.10.24, 2024-10-17 14:54:07
2024-10-18 08:08:28: ('3', 5.59, 18.12, 9.0, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 08:08:28: 3, 5.59, 18.12, 9.0, 18.10.24, 2024-10-17 14:54:07
2024-10-18 08:08:59: ('4', 5.55, 18.18, 9.5, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 08:08:59: 4, 5.55, 18.18, 9.5, 18.10.24, 2024-10-17 14:54:07
2024-10-18 08:09:30: ('5', 5.55, 18.24, 8.8, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 08:09:30: 5, 5.55, 18.24, 8.8, 18.10.24, 2024-10-17 14:54:07
2024-10-18 08:10:00: ('6', 5.55, 18.12, 9.2, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 08:10:00: 6, 5.55, 18.12, 9.2, 18.10.24, 2024-10-17 14:54:07
2024-10-18 08:10:31: ('7', 5.53, 18.19, 9.3, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 08:10:31: 7, 5.53, 18.19, 9.3, 18.10.24, 2024-10-17 14:54:07
2024-10-18 08:11:02: ('8', 5.57, 18.1, 9.1, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 08:11:02: 8, 5.57, 18.1, 9.1, 18.10.24, 2024-10-17 14:54:07
2024-10-18 08:11:32: ('9', 5.51, 18.18, 9.2, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 08:11:32: 9, 5.51, 18.18, 9.2, 18.10.24, 2024-10-17 14:54:07
2024-10-18 08:12:04: ('10', 5.55, 18.1, 9.4, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 08:12:04: 10, 5.55, 18.1, 9.4, 18.10.24, 2024-10-17 14:54:07
