2024-10-24 15:21:28: ('2', 5.55, 18.24, 10.6, '15.10.24', '2024-10-24 15:21:19')
2024-10-24 15:21:33: ('3', 5.7, 18.13, 11.6, '15.10.24', '2024-10-24 15:21:19')
2024-10-24 15:21:38: ('4', 5.57, 18.17, 11.7, '15.10.24', '2024-10-24 15:21:19')
2024-10-24 15:21:43: ('5', 5.63, 18.19, 12.0, '15.10.24', '2024-10-24 15:21:19')
2024-10-24 15:22:32: ('2', 5.55, 18.24, 10.6, '15.10.24', '2024-10-24 15:22:23')
2024-10-24 15:22:37: ('3', 5.7, 18.13, 11.6, '15.10.24', '2024-10-24 15:22:23')
2024-10-24 15:22:42: ('4', 5.57, 18.17, 11.7, '15.10.24', '2024-10-24 15:22:23')
2024-10-24 15:22:47: ('5', 5.63, 18.19, 12.0, '15.10.24', '2024-10-24 15:22:23')
2024-10-25 07:34:11: ('2', 5.55, 18.24, 10.6, '15.10.24', '2024-10-25 07:33:46')
2024-10-25 07:34:16: ('3', 5.7, 18.13, 11.6, '15.10.24', '2024-10-25 07:33:46')
2024-10-25 07:34:21: ('4', 5.57, 18.17, 11.7, '15.10.24', '2024-10-25 07:33:46')
2024-10-25 07:34:26: ('5', 5.63, 18.19, 12.0, '15.10.24', '2024-10-25 07:33:46')
2024-10-25 07:35:58: ('2', 5.55, 18.24, 10.6, '15.10.24', '2024-10-25 07:35:48')
2024-10-25 07:36:03: ('3', 5.7, 18.13, 11.6, '15.10.24', '2024-10-25 07:35:48')
2024-10-25 07:36:08: ('4', 5.57, 18.17, 11.7, '15.10.24', '2024-10-25 07:35:48')
2024-10-25 07:36:13: ('5', 5.63, 18.19, 12.0, '15.10.24', '2024-10-25 07:35:48')
2024-10-25 07:40:16: ('2', 5.55, 18.24, 10.6, ':', '2024-10-25 07:38:46')
2024-10-25 07:40:21: ('3', 5.7, 18.13, 11.6, ':', '2024-10-25 07:38:46')
2024-10-25 07:40:26: ('4', 5.57, 18.17, 11.7, ':', '2024-10-25 07:38:46')
2024-10-25 07:40:31: ('5', 5.63, 18.19, 12.0, ':', '2024-10-25 07:38:46')
2024-10-25 07:42:11: ('2', 5.55, 18.24, 10.6, '20.0', '2024-10-25 07:38:46')
2024-10-25 07:42:16: ('3', 5.7, 18.13, 11.6, '20.0', '2024-10-25 07:38:46')
2024-10-25 07:42:21: ('4', 5.57, 18.17, 11.7, '20.0', '2024-10-25 07:38:46')
2024-10-25 07:42:26: ('5', 5.63, 18.19, 12.0, '20.0', '2024-10-25 07:38:46')
2024-10-25 11:14:38: ('2', 5.55, 18.24, 10.6, '15.10.24', '2024-10-25 07:38:46')
2024-10-25 11:14:43: ('3', 5.7, 18.13, 11.6, '15.10.24', '2024-10-25 07:38:46')
2024-10-25 11:14:48: ('4', 5.57, 18.17, 11.7, '15.10.24', '2024-10-25 07:38:46')
2024-10-25 11:14:53: ('5', 5.63, 18.19, 12.0, '15.10.24', '2024-10-25 07:38:46')
